"kelime","anlam"
"ilm-i hikmet","felsefe ilmi; varlıkların mahiyet, nitelik ve özelliklerinden bahseden ilim"
"inkılâp etmek","değişmek, dönüşmek"
"mahsus","has, özel"
"marifetullah","Allah’ı bilme ve tanıma"
"mecmua","derlenmiş eser"
"medrese","İslâm tarihi boyunca üniversite seviyesinde eğitim ve öğrenim yapılan müessese"
"Mesnevî","Mesnevî-i Nuriye risalesi"
"mevzu","konu, bahis"
"muhtasar","kısa, özet"
"muhtelif","çeşitli"
"müdakkik","dikkatli; meseleleri bütün incelikleriyle ele alan"
"münazara","ilmî tartışma"
"nazara almak","göz önünde tutmak, dikkate almak"
"nev'inde","şeklinde, türünde"
"pencere-i marifet","Allah’ı bilme ve tanımaya yönelik bir pencere gibi açılan vasıta"
"risale","Risale-i Nur’dan herhangi bir bölüm"
"sûret","şekil, biçim"
"telif etmek","yazmak"
"terakkiyat-ı fikriye ve kalbiye","fikren ve kalben ilerlemeler"
"turuk-u cehriye","zikirlerini âşikâr ve sesli yapan tarîkatler"
"turuk-u hafiye","gizli ve sessiz zikri temel alan tarikatlar, Nakşibendîlik gibi"
"ulema","âimler"
"zikretmek","anmak, belirtmek"
"celâl","azamet, haşmet"
"daire-i esbab","sebepler dairesi"
"dellâl","ilân edici; duyuran"
"esbab","sebebler"
"gafil","Allah’ın emir ve yasaklarından habersiz davranan"
"hakikî","asıl, gerçek"
"hükmünde","yerinde, bir şeyle aynı hükmü alma"
"icraat","faaliyet, uygulamalar"
"iktizâ etmek","gerektirmek"
"isnad eden","dayandıran"
"izzet ve azamet","yücelik, sınırsız büyüklük ve ululuk"
"kudret","Allah’ın bütün varlığı kuşatan güç ve iktidarı"
"kudret-i ezeliye","Allah’ın ezelden beri var olan kudreti, güç ve kuvveti"
"lem'a","parıltı"
"meal","anlam; mânâ"
"muvazzaf","görevli"
"müşahit","şahit olan"
"nâzır","bakan, gözlemci"
"neşretmek","yaymak"
"rububiyet","Rablık; Allah’ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"saltanat","egemenlik, hâkimiyet, sultanlık"
"Sultan-ı Ezelî","hüküm ve saltanatının başlangıcı olmayan ve bütün zamanlara hükmeden Allah"
"şirket","ortaklık; ortak olma"
"tebliğat","duyurular"
"tesir","etki"
"tevhid","her şeyin bir olan Allah’a ait olması"
"zuhur eden","ortaya çıkan, görünen"
"acz","acizlik, güçsüzlük"
"azamet","büyüklük, yücelik"
"beşer","insanlık"
"binaenaleyh","bundan dolayı"
"celâl","azamet, haşmet"
"def","uzaklaştırma"
"ecel","ölüm vakti"
"esbab","sebebler"
"evâmir-i tekviniye","Cenâb-ı Hakkın yaratmaya yönelik emirleri ve ka-nunları"
"fenalık","kötülük, şer"
"gafil","Allah’ın emir ve yasaklarından habersiz davranan"
"hâlât","durumlar, haller"
"hasıl olan","meydana gelen"
"haşmet","büyüklük, görkem"
"hikmet","bir gaye ve faydaya yöne-lik olarak, tam yerli yerinde olma"
"ibâd","kullar"
"inkıyad","boyun eğme"
"istidat","yetenek; temel özellikler"
"izhar","göstermek, açığa vurmak"
"izzet","değer, itibar, şeref, yücelik, üstünlük"
"kabz-ı ervah","ruhları teslim alma"
"kemâl","olgunluk, mükemmellik"
"kudret","Allah’ın bütün varlığı kuşa-tan güç ve iktidarı"
"kudret-i İlâhiye","Allah’ın sonsuz güç ve iktidarı"
"lisan-ı hikmet","hikmet dili"
"memuriyet","memurluk"
"merci","kaynak, başvurulacak yer"
"misal-i lâtif","güzel ve hoş bir örnek"
"muavenet eden","yardım eden"
"münasebet","alâka, ilgi"
"münasip","uygun"
"müteallik","alâkalı, ilgili"
"nazar","bakış, görüş, düşünce"
"nâzır","bakan, gözlemci"
"nev","çeşit, tür"
"perdedar-ı dest-i kudret","kudret elinin perdecisi; sebepler"
"rahmet","İlâhî şefkat ve merhamet"
"rivayet","bir sözü nakletme"
"rububiyet","Rablık; Allah’ın herbir varlığa yaratılış gayelerine ulaş-maları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundur-ması"
"sultan","hükümdâr, yönetici"
"sûretinde","şeklinde, biçiminde"
"şekva","şikayet"
"tayin","belirleme, belirli kılma"
"temsil-i mânevî","mânevi örnek, benzetme"
"tesir-i hakikî","gerçek tesir sahibi"
"tevehhüm olunan","sanılan"
"tevhid","Allah’ın birliği"
"vaz edilmek","konulmak, yerleştiril-mek"
"vukuat","meydana gelen olaylar"
"zahiren","dış görünüş itibariyle"
"âhir","son"
"âmiyâne","âvamca; taklidî bir şekilde"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"cephe","yüz"
"cihaz","organ, duyu"
"cisim","madde, varlık"
"dalâlet","hak yoldan sapkınlık"
"emr-i Rabbâni","Allah’a ait emir, iş"
"evham","kuruntular, şüpheler"
"gaflet","âhirete, Allah’ın emir ve yasaklarına duyarsız davranma hâli, umursamazlık"
"hakikî","asıl, gerçek"
"Hâlık","her şeyi yaratan Allah"
"Hâlık-ı Teâlâ","herşeyi yaratan, yüce yaratıcı Allah"
"halk eden","yaratan"
"has","özel, ait"
"hâtem","mühür, damga"
"husule gelmek","meydana gelmek; ortaya çıkmak"
"huzurî","Allah’ın bizzat huzurunda olduğunu hissetme şeklinde"
"icad etmek","var etmek, yaratmak"
"inkılâp etmek","değişmek, dönüşmek"
"itikad","sarsılmaz inanç"
"kabil olmayan","mümkün olmayan"
"kudret","Allah’ın güç ve iktidarı"
"Kur'ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur’ân"
"lâyetezelzel","sarsılmaz"
"lem'a","parıltı"
"maada","başka, dışında, ötesinde"
"mahlûk","varlık"
"mahsus","has, özel"
"mâlik","sahip"
"masnû","san’at eseri varlık"
"meleke","maharet, kabiliyet"
"menşe","esas, kaynak"
"mertebe","derece, basamak"
"muhtelif","çeşitli, değişik"
"mülk","sahip olunan şey; hükmedilen yer"
"Sâni","her şeyi san’atla yaratan Allah"
"sikke","değerli damga, mühür"
"sikke-i i'câz","mu’cizelik damgası, işareti"
"Sultan-ı Ezel ve Ebed","başlangıç ve sonu olmaksızın, hüküm ve saltanatı ezelden ebede devam eden Sultan, Allah"
"şerik","Allah’a ortak koşulan şey"
"şey-i vahid","birşey, tek şey"
"taarruz","saldırı"
"tenbih","ikaz, uyarı"
"tevhid","birleme, her şeyi bir olan Allah’a verme"
"turra","padişaha özel mühür, nişan"
"uzuv","organ"
"vücut","varlık"
"zımnında","içinde"
"âlem","dünya, kâinat"
"beşer","insanlık"
"câmiiyet","kapsamlı oluş"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"cihet","yön, taraf"
"cilve","görüntü, akis"
"derc etmek","içine yerleştirmek"
"ekser","pek çok"
"esbab","sebebler"
"fihriste","özet, içindekiler bölümü"
"gayet","son derece"
"gayr-ı mütenâhî","nihayetsiz, sonsuz"
"hakîmâne","hikmetle, bir maksat ve faydaya yönelik bir şekilde"
"Hâlık","her şeyi yaratan Allah"
"halk etmek","yaratmak"
"hâtem","mühür"
"îcad etmek","var etmek, ortaya çıkarmak"
"ihya","hayat verme, diriltme"
"iktidar","güç, kudret"
"isnad etmek","dayandırmak"
"itibarıyla","özelliğiyle"
"itibarla","…bakımıdan, özellikle"
"kâinat","evren, bütün yaratılmışlar"
"katre","damla"
"kevn","varlık, âlem, kâinat"
"keyfiyet","hal, özellik, nitelik"
"kezalik","bunun gibi"
"kitab-ı kâinat","kâinat kitabı"
"kuvve-i hafıza","hafıza gücü, bellek"
"maada","başka, dışında, ötesinde"
"mahiyet","öz nitelik, içyapı"
"mahlûk","yaratılmış, varlık"
"mahlûkat","yaratılmışlar, varlıklar"
"mahsus","has, özel"
"mesâil","meseleler"
"misal","örnek, benzetme"
"muayyen","belirlenmiş, kararlaştırılmış"
"nakış","işleme, süsleme"
"nefh-i hayat","hayat üfleme; cansızlara can verme"
"netice","son, sonuç"
"nizam","düzen"
"nümune","örnek, misal"
"nüve","çekirdek"
"Rabbü'l-Âlemîn","âlemlerin Rabbi olan Allah"
"Sâni","her şeyi san’atla yaratan Allah"
"seyyar","hareketli, yerinde sabit durmayan"
"sikke","damga, işaret"
"şecere-i âlem","âlem ağacı, bir ağaca benzeyen kâinat"
"şems","güneş"
"Şems-i Ezelî","Ezelî Güneş; yokluk ve hiçlik karanlıklarını eserleriyle aydınlatan mânâsında Allah’ın unvanı"
"şuur","bilinç, anlayış, idrak"
"taallûkat","ilgili unsurlar"
"tahvil etmek","dönüştürmek, değiştirmek"
"tarih-i hayat","hayat tarihi, özgeçmiş"
"tasarruf","dilediği gibi kullanma ve yönetme"
"tecellî-i ehadiyet","Allah’ın birliğinin her bir varlıkta görünmesi"
"teemmül","düşünme, inceden inceye araştırma"
"turra","padişaha özel mühür, nişan"
"vaz’ edilen","konulan, yerleştirilen"
"vücud","varlık, var oluş"
"yed-i tasarruf","tasarruf eli, icraat sahibi"
"zîhayat","canlı"
"acip","hayret verici, şaşırtıcı"
"acz","acizlik, güçsüzlük"
"ahmakane","ahmakça, akılsızca"
"binaen","dayanarak"
"cahilâne","cahilce, bilgisizce"
"cism","varlık, beden"
"ebnâ-yı cins","kendi cinsinden olanlar"
"ecza","bütünü oluşturan parçalar"
"farz edilmek","varsayılmak"
"garip","tuhaf"
"âlem","dünya, kâinat"
"beşer","insanlık"
"câmiiyet","kapsamlı oluş"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"cihet","yön, taraf"
"cilve","görüntü, akis"
"derc etmek","içine yerleştirmek"
"ekser","pek çok"
"esbab","sebebler"
"fihriste","özet, içindekiler bölümü"
"gayet","son derece"
"gayr-ı mütenâhî","nihayetsiz, sonsuz"
"hakîmâne","hikmetle, bir maksat ve faydaya yönelik bir şekilde"
"Hâlık","her şeyi yaratan Allah"
"halk etmek","yaratmak"
"hâtem","mühür"
"îcad etmek","var etmek, ortaya çıkarmak"
"ihya","hayat verme, diriltme"
"iktidar","güç, kudret"
"isnad etmek","dayandırmak"
"itibarıyla","özelliğiyle"
"itibarla","…bakımıdan, özellikle"
"kâinat","evren, bütün yaratılmışlar"
"katre","damla"
"kevn","varlık, âlem, kâinat"
"keyfiyet","hal, özellik, nitelik"
"kezalik","bunun gibi"
"kitab-ı kâinat","kâinat kitabı"
"kuvve-i hafıza","hafıza gücü, bellek"
"maada","başka, dışında, ötesinde"
"mahiyet","öz nitelik, içyapı"
"mahlûk","yaratılmış, varlık"
"mahlûkat","yaratılmışlar, varlıklar"
"mahsus","has, özel"
"mesâil","meseleler"
"misal","örnek, benzetme"
"muayyen","belirlenmiş, kararlaştırılmış"
"nakış","işleme, süsleme"
"nefh-i hayat","hayat üfleme; cansızlara can verme"
"netice","son, sonuç"
"nizam","düzen"
"nümune","örnek, misal"
"nüve","çekirdek"
"Rabbü'l-Âlemîn","âlemlerin Rabbi olan Allah"
"Sâni","her şeyi san’atla yaratan Allah"
"seyyar","hareketli, yerinde sabit durmayan"
"sikke","damga, işaret"
"şecere-i âlem","âlem ağacı, bir ağaca benzeyen kâinat"
"şems","güneş"
"Şems-i Ezelî","Ezelî Güneş; yokluk ve hiçlik karanlıklarını eserleriyle aydınlatan mânâsında Allah’ın unvanı"
"şuur","bilinç, anlayış, idrak"
"taallûkat","ilgili unsurlar"
"tahvil etmek","dönüştürmek, değiştirmek"
"tarih-i hayat","hayat tarihi, özgeçmiş"
"tasarruf","dilediği gibi kullanma ve yönetme"
"tecellî-i ehadiyet","Allah’ın birliğinin her bir varlıkta görünmesi"
"teemmül","düşünme, inceden inceye araştırma"
"turra","padişaha özel mühür, nişan"
"vaz’ edilen","konulan, yerleştirilen"
"vücud","varlık, var oluş"
"yed-i tasarruf","tasarruf eli, icraat sahibi"
"zîhayat","canlı"
"habbe","dane, tohum"
"hakikî","gerçek"
"hamakat","ahmaklık"
"hasıl olmak","meydana gelmek"
"hükmedilmek","karar verilmek"
"hükmetmek","hüküm ve karar vermek"
"hüküm","yargı, karar"
"ihtiyar","seçme gücü, irade"
"in'ikâs etmek","yansımak"
"irade","dileme sıfatı"
"isnad etmek","dayandırmak"
"itikad etmek","inanmak"
"Kadir-i Mutlak","herşeye gücü yeten, sınırsız güç ve kudret sahibi Allah"
"katre","damla"
"kezalik","bunun gibi"
"kudret","güç, iktidar"
"maada","başka, dışında, ötesinde"
"maahaza","bununla beraber, bununla birlikte"
"mecburiyet","zorunlu olma, mecbur olma"
"menzil","yer, konum"
"mevcudat","varlıklar"
"mevcut","var"
"misil","benzer, eş değer"
"muhit","her tarafı kuşatan"
"muntazam","düzenli"
"mutlak","kayıtsız, sınırsız"
"müçtemian","topluca, hepsi birden"
"münasebet","ilişki, bağ"
"münasebettar","alâkalı, ilgili"
"münferiden","tek olarak"
"nefs","kendisi"
"nev'","çeşit, tür"
"nihayetsiz","sınırsız"
"nisbet","bağlantı; oran"
"nisbetinde","ölçüsünde"
"nokta-i merkeziye","merkezî nokta"
"sabık","geçen, önceki"
"sair","diğer, başka"
"sikke","işaret, damga"
"şeffaf","saydam, parlak"
"şems","güneş"
"Şems-i Ezelî","Ezelî Güneş; bu tabir ezelden beri bütün varlıkları aydınlatan Allah için bir unvan olarak kullanılır"
"şerik","Allah’a ortak koşulan şey"
"şua","ışık, parıltı"
"takdirde","durumda"
"tecellî-i esma","Cenâb-ı Hakk’ın isimlerine ait büyük tecelliler, yansımalar"
"temsil","analoji, kıyaslama tarzında benzetme"
"timsal","görüntü"
"ulûhiyet-i mutlaka","hiçbir kayda ve şarta bağlı olmaksızın ilâh olma, mutlak ve sınırsız bir ilâhlık"
"Vacibü'l-Vücud","varlığı zorunlu olan, var olmak için hiçbir sebebe ihtiyacı olmayan Allah"
"vazife","görev"
"vaziyet","durum, hal"
"vücud","varlık"
"zerre","atom, maddenin en küçük parçası"
"zîhayat","canlı"
"âlât","aletler"
"binaenaleyh","bundan dolayı"
"cihaz","organ, duyu"
"cihet","yön, taraf"
"cüz’","kısım, parça"
"delâlet etmek","delil olmak, işaret etmek"
"edevat","bir iş için gerekli olan malzemeler, parçalar"
"ekser","pek çok"
"esbab","sebebler"
"esmâ","Allah’ın isimleri"
"eşkâl","şekiller, biçimler"
"evsaf","nitelikler, özellikler"
"hassa","nitelik, özellik"
"hurafe","gerçek dışı, saçma inanış"
"hükmeden","bir karara varan"
"imtina","bir şeyin imkânsızlığı"
"intizam","düzen"
"isnad eden","dayandıran"
"izhar etmek","göstermek, ortaya çıkarmak"
"kabiliyet","yetenek"
"kâinat","evren, bütün yaratılmışlar"
"kalem-i kudret","Allah’ın kudret kalemi"
"kâtib","yazan"
"keza","aynı, aynı biçimde"
"kezalik","bunun gibi"
"kitab-ı kâinat","kâinat kitabı"
"kudret","güç, kudret, iktidar"
"mahiyet","esas nitelik, içyapı"
"mâkul","akla uygun, aklın kabul ettiği"
"medar","dayanak noktası, kaynak"
"menşe olmak","öz, kaynak"
"mizan","ölçü, tartı"
"muhal","imkânsız"
"muhalif","aykırı, zıt"
"mücessem","cisimleşmiş, maddî yapısı olan"
"müçtemian","toplu, topluca, bir araya gelmiş olarak, hepsi birden"
"münferiden","tek başına"
"mürettip","matbaada çalışan ve harfleri sıralayan kişi"
"mütehalif","birbirine uymayan"
"nakkaş","nakış ustası"
"nebat","bitki"
"nebatat","bitkiler"
"sair","diğer, başka"
"Sâni","her şeyi san’atla yaratan Allah"
"sıfat","özellik, vasıf"
"suubet","zorluk"
"sülûk etmek","yönelmek, yola girmek"
"tab'","baskı, basma"
"târif etmek","anlatmak, tanıtmak"
"teçhizat","cihazlar, âletler"
"teşkil","şekillendirme, yapılma"
"teşkilât","yapı"
"unsur","madde"
"Vahid-i Ehad","bir ve tek olan, birliği bütün varlıkları kuşattığı gibi herbir varlıkta da tecellî eden Allah"
"vehm","kuruntu, zan"
"vücud","varlık"
"zehab eden","giden"
"zehab etmek","gitmek"
"zîhayat","canlı"
"ziynet","süs"
"acip","hayret verici"
"aktar-ı semâvat ve arz","gökyüzünün ve yeryüzünün dört bir yanı, her tarafı"
"arz","dünya"
"ayniyet","aynı oluş"
"bahis","konu"
"beşer","insanlık"
"bilhassa","özellikle"
"binaen","dayanarak"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"cüz","bir bütünü oluşturan bölümler-den herbiri, parça"
"cüz’î","tikel, bir sınıfın bireyi, fert"
"delâlet etmek","delil olmak, işaret etmek"
"ekserî","çoğunluk"
"emsal","denk, benzer"
"envâ-ı kesire","pek çok türler, çeşitler"
"galatsız","hatasız, yanlışsız"
"gayr","diğer, başkası"
"haltsız","yanlışsız, karıştırmadan"
"has","özel"
"haşir","toplanma; diriliş; mevsimlerle birlikte yaşanan ve haşri andıran gelişmeler"
"hâtem","mühür"
"hâtem-i İlâhî","İlâhî mühür, damga"
"hâtem-i vahidiyet","her şeyi kaplayan birlik mührü"
"Hebenneka","tarihte ahmaklığıyla meşhur bir şahsiyet"
"hikmet","bir gaye ve faydaya yönelik olma"
"iade etmek","tekrar yapmak"
"ihya","hayat verme, diriltme"
"karib","yakın"
"kaside","övgü şiiri"
"kemâl-i imtiyaz","varlıkları birbirinden eksiksiz bir şekilde ayırt etme"
"keyfiyet","hal, özellik"
"küll","bütün, bir şeyin tamamı"
"küllî","belli bir sınıfın fertlerini içine alan; tür, cins; tümel"
"lâkin","ama, fakat"
"mahlûkat","yaratılmışlar, varlıklar"
"mecmu-u kâinat","kâinatın tamamı"
"medih","övgü, şükür"
"mevzu","konu, bahis"
"mezkûr","anılan, ifade edilen"
"misal","örnek"
"misliyet","benzerlik"
"muhalif","zıt, ters"
"mümtazâne","birbirinden farklı bir şekilde"
"nefh-i ruh","ruhun üflenmesi"
"neşir","yayılma; bahar mevsiminde sayısız canlı varlıkların hayat bulup ortaya çıkmaları"
"nevi","tür"
"nihayet","son"
"saha-i vücud","vücut sahası, varlık alanı"
"Sâni","her şeyi san’atla yaratan Allah"
"Sâni-i Zülcelâl","büyüklük ve yücelik sahibi olan ve her şeyi san’atlı bir şekilde yapan Allah"
"sikke","damga, mühür"
"sikke-i ehadiyet","Allah’ın herbir varlık üzerinde birliğini gösteren mühür"
"sikke-i mahsusa","özel mühür"
"suhulet-i haşir","haşrin kolaylığı"
"vaz’ etmek","koymak, yerleştirmek"
"aktar-ı semavat ve arz","yeryüzü ve gökyüzünün dört bir yanı, her tarafı"
"âlât ve edevat","aletler ve bir iş için gerekli olan malzemeler"
"âlem","dünya, evren"
"basîrâne","görerek, bilerek"
"beşer","insan"
"cereyan etmek","olmak, geçmek, yapılmak"
"dostâne","dostça"
"ecram","gök cisimleri, yıldızlar"
"ecza","bütünü oluşturan parçalar"
"efrad","fertler"
"envâ","çeşitler, türler"
"fabrika-i kâinat","bir fabrika gibi mükemmel işleyen kâinat"
"hakîmâne","çok hikmetli bir şekilde"
"harikulâde","olağanüstü, hayranlık verici"
"hasretmek","özgü kılmak"
"haşir ve neşir","öldükten sonra âhirette tekrar diriltilerek Allah’ın huzurunda toplanılması ve bütün gerçeklerin sergilenmesi"
"haşir","öldükten sonra âhirette yeniden diriltilip Allah’ın huzurunda toplanma"
"hâtem","mühür, damga"
"hâtem-i ehadiyet","Allah’ın herbir varlıkta birliğini gösteren mühür"
"hâtem-i has","özel mühür"
"hâtem-i tevhid","her şeyin bir olan Allah’a ait olduğunu gösteren mühür"
"hâzır ve nâzır","her an her yerde olan ve gören"
"heyet-i mecmua","genel yapı, bireylerin tamamı"
"hülâsa","özet olarak"
"icad","var etme, yaratma"
"imdad","yardım"
"imtiyaz","birbirinden farklı olan varlıkları kolaylıkla birbirinden ayırma"
"kemâl-i intizam","eksiksiz bir mükemmellikte olan düzen"
"kemâl-i sür'at","eksiksiz, mükemmel bir hızla"
"kerîmâne","çok lütufkâr ve cömert bir şekilde"
"keza","aynı, aynı biçimde"
"kudret","güç, iktidar"
"mahlûkat","yaratılmışlar, varlıklar"
"muarefe","birbirini tanıma"
"muavenet","yardımlaşma"
"muhit","herşeyi içine alan, kuşatan"
"muntazam","düzenli"
"muntazaman","düzenli olarak"
"mükâleme","karşılıklı konuşma"
"nakışlı","işlemeli, süslü"
"nihayetsiz","sonsuz"
"risale","mektup; küçük bir kitabı andıran ve Allah'ı tanıtan varlık"
"rububiyet","Rablık; herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"sath-ı arz","yeryüzü"
"savt","ses"
"sehivsiz","hatâsız"
"sema","gök"
"sikke-i mahsusa","özel mühür"
"suhulet","kolaylık"
"suret","biçim, şekil"
"tasarruf-u azîm","büyük tasarruf, icraat"
"temsil eden","benzer bir örnekle mühim bir hakikati ortaya koyan"
"teveccüh","ilgi, yönelme"
"vazıh","açık, âşikar"
"Zât","Allah"
"Zât-ı Zülcelâl","sonsuz büyüklük sahibi ve şanı yüce Allah"
"âdeta","sanki"
