"kelime","anlam"
"lâfz","söz, ifade"
"delâlet","delil olma, işaret etme"
"işârât","işaretler, belirtiler"
"Nükte","ince ve derin anlamlı söz"
"Kur'ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur'ân"
"bâki","ebedî, devamlı, sürekli"
"meyve-i uhrevî","âhiret meyvesi"
"mahiyet","esas nitelik, özellik"
"Eski Said","Bediüzzaman'ın kendisi için kullandığı tabirdir. Risale-i Nur'un yazılmaya başlandığı zamana kadarki dönemi ifade eder; bk. Bediüzzaman Said Nursî"
"tefsir","açıklama, yorum; Kur'ân-ı Kerimi mânâ bakımından açıklayan, yorumlayan kitap, eser"
"zerre","atom, çok küçük parça"
"kelimat","kelimeler, sözler"
"nükte","ince ve derin anlamlı söz"
"izah","açıklamak"
"zerre","atom, çok küçük parça"
"münasebet","bağlantı, ilişki"
"Nükte","ince ve derin anlamlı söz"
"cezalet","güçlü ve düzgün ifade, güzel anlatım"
"belâgat","sözün düzgün, kusursuz, hâlin ve makamın icabına uygun olması"
"muhafaza","korumak"
"muhtasar","kısa, özet"
"Arabî","Arapça"
"tefsir","açıklama, yorum; Kur'ân-ı Kerimi mânâ bakımından açıklayan, yorumlayan kitap, eser"
"âhir","son"
"mâni","engel"
"neşr","yayınlamak"
"izale","gidermek"
"Arabî","Arapça"
"tefsir","açıklama, yorum; Kur'ân-ı Kerimi mânâ bakımından açıklayan, yorumlayan kitap, eser"
"tevafuk","denk gelme, uygunluk"
"enva","çeşitler, türler"
"beşer","insan"
"ihtiyar","irade, dileme, tercih"
"matbu","basılmış olan eser"
"tarz","biçim, şekil"
"alâmet-i makbuliyet","bir şeyin kabul görmesinin işaret ve belirtisi"
"Harb-i Umumî","Birinci Dünya Savaşı; bk. Birinci Harb-i Umumî"
"cephe","üzerinde savaş yapılan bölge, savaş alanı"
"avcı hattı","savaşta düşmana doğru dağılarak ön safta ilerleyen asker birliği"
"telif","yazmak"
"İ'câz","mu'cize oluş; bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstülük"
"tefsir","Kur'ân-ı Kerimi mânâ bakımından açıklayan, yorumlayan kitap, eser"
"İlm-i belâgat","belâğat ilmi"
"kavâid-i Arabiye","Arapça dilbilgisi kuralları, kaideleri"
"sırr-ı azîm","büyük sır"
"fehm","anlamak"
"İ'câz","mu'cize oluş; bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstülük"
"tefsir","Kur'ân-ı Kerimi mânâ bakımından açıklayan, yorumlayan kitap, eser"
"hakikaten","gerçekten"
"tefsir","Kur'ân-ı Kerimi mânâ bakımından açıklayan, yorumlayan kitap, eser"
"vücuh-u i'câz","mu'cizelik yönleri"
